abandon	abandon [ə'bændən] (動) 放棄；拋棄
absentee	absentee [ˌæbsən'ti] (名) 缺席者；曠課者　(形) 缺席的；不在場的
absolute	absolute ['æbsəˌlut] (形) 絕對的；完全的　(副) 絕對地；完全地
absolutely	absolutely [æbsə'lutlɪ] (副) 絕對地；完全地
absolve	absolve [æb'zɑlv] (動) 赦免；免除責任
absorb	absorb [əb'sɔrb] (動) 吸收；全神貫注
abstain	abstain [æb'sten] (動) 戒除；棄權
abstract	abstract (形) ['æbstrækt] 抽象的；深奧的　(名) ['æbstrækt] 摘要；概要　(動) [æb'strækt] 摘錄；提取
abstraction	abstraction [æb'strækʃən] (名) 抽象概念；抽象化
abstruse	abstruse [æb'strus] (形) 深奧的；難解的
absurd	absurd [æb'sɝd] (形) 荒謬的；可笑的
abundance	abundance [ə'bʌndəns] (名) 豐富；大量
abundant	abundant [ə'bʌndənt] (形) 豐富的；大量的
abundantly	abundantly [ə'bʌndəntlɪ] (副) 充裕地；大量地
abuse	abuse (名) [ə'bjus] 濫用；虐待　(動) [ə'bjuz] 濫用；虐待
abusive	abusive [ə'bjusɪv] (形) 辱罵的；虐待的
academic	academic [ækə'dɛmɪk] (形) 學術的；學業的　(名) 學者；大學教師
academy	academy [ə'kædəmɪ] (名) 學院；學術團體
accelerate	accelerate [æk'sɛlɚet] (動) 加速；促進
accelerated	accelerated [æk'sɛlɚetɪd] (形) 加速的；加快的　(動) 加速；促進
acceleration	acceleration [ækˌsɛlɚ'eʃən] (名) 加速；加速度
accent	accent (名) [ˈæksɛnt] 口音；腔調　(動) [ækˈsɛnt] 強調；使突出
accentuate	accentuate [æk'sɛntʃʊet] (動) 強調；使突出
accept	accept [æk'sɛpt] (動) 接受；承認
acceptable	acceptable [æk'sɛptəbl] (形) 可接受的；令人滿意的
acceptance	acceptance [æk'sɛptəns] (名) 接受；認可
accepted	accepted [æk'sɛptɪd] (形) 被接受的；公認的
access	access ['æksɛs] (名) 入口；使用權　(動) 存取；進入
accessible	accessible [æk'sɛsəb!] (形) 可進入的；易獲得的
accessory	accessory [æk'sɛsərɪ] (名) 配件；附屬品　(形) 附加的；輔助的
accident	accident [['æksədənt]] (名) 意外；事故
accidental	accidental [æk'sɪdɛntl] (形) 意外的；偶然的
acclaim	acclaim [ə'klem] (名) 喝采；讚揚　(動) 歡呼；稱讚
acclaimed	acclaimed [ə'klemd] (形) 廣受好評的；備受讚譽的
accolade	accolade ['ækəˌled] (名) 榮譽；獎讚
accommodate	accommodate [ə'kɑmə͵det] (動) 容納；提供住宿
accommodating	accommodating [ə'kɑmə͵detɪŋ] (形) 樂於助人的；隨和的
accommodation	accommodation [ə'kɑmədeʃən] (名) 住宿；accommodation
accommodations	accommodations [ə'kɑməˌdeʃənz] (名) 住宿；膳宿
accompany	accompany [ə'kʌmpənɪ] (動) 陪同；伴隨
accomplish	accomplish [ə'kɑmplɪʃ] (動) 完成；達成
accomplished	accomplished [ə'kɑmplɪʃt] (形) 熟練的；有才藝的
accomplishment	accomplishment [ə'kɑmplɪʃmənt] (名) 成就；成績
accord	accord [ə'kɔrd] (名) 協議；一致　(動) 給予；符合
accordance	accordance [ə'kɔrdəns] (名) 一致；符合
accordingly	accordingly [ə'kɔrdɪŋlɪ] (副) 因此；照著辦
accordion	accordion [ə'kɔrdɪən] (名) 手風琴
account	account [ə'kaʊnt] (名) 帳戶；帳號　(動) 說明；解釋
accountable	accountable [ə'kaʊntəb!] (形) 負有責任的；應負責的
accountant	accountant [ə'kaʊntənt] (名) 會計師；會計人員
accounting	accounting [ə'kaʊntɪŋ] (名) 會計；帳務處理
accredit	accredit [ə'krɛdɪt] (動) 認可；授權
accretion	accretion [ə'kriʃən] (名) 逐漸增長；積聚
accuarately	accuarately [ə'kjʊrətlɪ] (副) 正確地；精確地
accumulate	accumulate [ə'kjumjə͵let] (動) 積累；累積
accumulation	accumulation [əˌkjumjə'leʃən] (名) 積累；堆積
accumulative	accumulative [ə'kjumjəletɪv] (形) 累積的；逐漸增加的
accuracy	accuracy ['ækjərəsi] (名) 準確性；精確度
accurate	accurate ['ækjərɪt] (形) 準確的；精確的
accurately	accurately ['ækjərɪtlɪ] (副) 準確地；精確地
accursed	accursed [ə'kɝsɪd] (形) 被詛咒的；令人厭惡的
accusation	accusation [ə'kju:zəˌʃən] (名) 指控；控告　(名) 被控告的事；罪名
accuse	accuse [ə'kjuz] (動) 指控；控告　非難；譴責
accustom	accustom [ə'kʌstəm] (動) 使習慣；使適應　(形) 習慣的；通常的
accustomed	accustomed [ə'kʌstəmd] (形) 習慣的；適應的　(動) 使習慣；使適應
ace	ace ['es] (名) 王牌；高手　(動) 成功地完成；獲得優異成績　(形) 優秀的；一流的
acetylcholine	acetylcholine [ˌæsə'tɪlˌkolɪn] (名) 乙醯膽鹼；神經傳遞物質
ache	ache ['ek] (名) 疼痛；酸痛　(動) 疼痛；酸痛
achieve	achieve [ə'tʃiv] (動) 達成；完成　(動) 獲得；取得
achievement	achievement [ə'tʃɪvmənt] (名) 成就；成就感　(名) 達成；完成
achoo	achoo ['ətʃu] (片) 打噴嚏的擬聲詞
acid	acid ['æsɪd] (名) 酸；酸性物質　(形) 酸的；尖刻的
acidulous	acidulous [ə'sɪdʒələs] (形) 略帶酸味的；尖酸刻薄的
acknowledge	acknowledge [ɪk'nɑlɪdʒ] (動) 承認；認可　(動) 表示感謝；致謝
acknowledgment	acknowledgment [ək'nɑlɪdʒmənt] (名) 承認；認可　(名) 感謝；致謝
acme	acme ['ækmi] (名) 頂點；高峰　(名) 最高成就；極致
acne	acne ['ækni] (名) 青春痘；粉刺
acolyte	acolyte ['ækəˌlaɪt] (名) 助手；門徒　(名) 追隨者；信徒
acoustic	acoustic [ə'kʊstɪk] (形) 聲學的；與聲音有關的　(名) 音響效果；聲學特性
acquaint	acquaint [ə'kweɪnt] (動) 使認識；介紹　(動) 了解；熟悉
acquaintance	acquaintance [ə'kweɪntəns] (名) 認識的人；泛泛之交　(名) 認識；熟悉
acquainted	acquainted [ə'kweɪntɪd] (形) 認識的；熟悉的　(動) 了解；使認識
acquiesce	acquiesce [ə'kwiɛs] (動) 默認；同意　(動) 順從；妥協
acquiescent	acquiescent [ˌækwi'ɛsənt] (形) 默許的；順從的　(形) 不反對的；被動接受的
acquire	acquire [ə'kwaɪɚ] (動) 獲得；取得　(動) 學到；習得
acquired	acquired [ə'kwaɪɚd] (形) 獲得的；後天習得的　(動) 獲得；取得
acquirement	acquirement [ə'kwaɪɚmənt] (名) 取得；獲得　(名) 獲得的事物；所得
acquisition	acquisition [ə'kwɪzɪʃən] (名) 獲得；習得　(名) 所得物；收購品
acquit	acquit [ə'kwɪt] (動) 宣判無罪；證明清白
acre	acre ['ɛkɚ] (名) 英畝（面積單位）；田地
acrid	acrid ['ækrɪd] (形) 刺鼻的；辛辣的　(形) 尖刻的；刻薄的
acrobat	acrobat ['ækrəˌbæt] (名) 特技表演者；雜技演員
acronym	acronym ['ækrəˌnɪm] (名) 縮寫詞；首字母縮略詞
acrophobia	acrophobia [ˌækrə'fobɪə] (名) 懼高症；害怕高處的恐懼症
across	across [ə'krɔs] (介) 穿過；橫過　(副) 橫過；對面地　(形) 橫跨的；對面的
act	act [ækt] (動) 行動；做；表演　(名) 行為；法案；段落
acting	acting ['æktɪŋ] (名) 表演；演出　(動) 扮演；擔任角色　(形) 代理的；臨時的
action	action ['ækʃən] (名) 行動；動作　(名) 行為；作用
activate	activate ['æktəˌvet] (動) 啟動；激活　(動) 使活躍；激勵
active	active ['æktɪv] (形) 積極的；主動的　(動) 啟動；激活
actively	actively ['æktɪvli] (副) 積極地；主動地　(副) 活躍地；精力充沛地
activist	activist ['æktɪvɪst] (名) 行動主義者；積極分子　(形) 行動主義的；積極分子的
activity	activity [æk'tɪvəti] (名) 活動；事物　(名) 積極性；活躍
actor	actor ['æktɚ] (名) 演員；男演員　(名) 行動者；參與者
actress	actress ['æktrɪs] (名) 女演員；女優
actual	actual ['æk.tʃu.əl] (形) 實際的；真實的　(副) 實際上；其實
actually	actually ['æk.tʃu.ə.li] (副) 實際上；其實　(副) 竟然；居然
actuate	actuate ['æktʃuˌet] (動) 驅動；激勵　(動) 促使；推動
actuator	actuator ['æktʃuˌetɚ] (名) 執行器；驅動裝置　(名) 致動器；操動裝置
aculeate	aculeate [ə'kjuliɪt] (形) 有刺的；尖銳的
acumen	acumen [ə'kjumən] (名) 敏銳的眼光；聰慧；商業頭腦
acupoint	acupoint ['ækjuˌpɔɪnt] (名) 穴位；穴道
acupressure	acupressure ['ækjuˌprɛʃɚ] (名) 穴位按壓療法；按壓穴位
acupuncture	acupuncture ['ækjəˌpʌŋktʃɚ] (名) 針灸；穴位針刺療法
acute	acute [ə'kjut] (形) 嚴重的；急性的　(形) 敏銳的；尖銳的
acutely	acutely [ə'kjutli] (副) 敏銳地；尖銳地　(副) 急迫地；嚴重地
ad	ad [æd] (名) 廣告；廣告文案　(動) 登廣告；刊登廣告
adamant	adamant ['ædəmənt] (形) 堅定的；不動搖的　(形) 堅決的；拒不改變的
adapt	adapt [ə'dæpt] (動) 適應；改編　(動) 調整；改造
adaptable	adaptable [ə'dæptəbəl] (形) 能適應的；適應力強的　能調整的；靈活的
adaptation	adaptation [ˌædæp'teʃən] (名) 適應；改編　(動) 適應；改編
adaption	adaption [ə'dæpʃən] (名) 適應；改編　(動) 改編；調整
adaptive	adaptive [ə'dæptɪv] (形) 適應的；能適應的　(形) 調整的；改進的
add	add [æd] (動) 加；增加　(動) 補充說；繼續說
addict	addict (名) [ˈædɪkt] 成癮者；上癮的人　(動) [əˈdɪkt] 使成癮；沉溺於　(形) 成癮的；上癮的
addicted	addicted [ə'dɪktɪd] (形) 沉溺於…的；成癮的　(動) 使…成癮；使…沉溺
addiction	addiction [ə'dɪkʃən] (名) 成癮；上癮　(名) 沉溺；癡迷
addition	addition [ə'dɪʃən] (名) 加法；加運算　(名) 附加物；增加
additional	additional [ə'dɪʃənl] (形) 額外的；另外的　(形) 補充的；增加的
additionally	additionally [ə'dɪʃənəli] (副) 另外；此外　(副) 而且；加上
additive	additive ['ædətɪv] (形) 添加的；附加的　(名) 添加劑；加法的
address	address [ə'drɛs] (名) 地址；住址　(動) 向…說話；處理
addressee	addressee [ˌædrɛ'si] (名) 收件人；收信人
adept	adept [ə'dɛpt] (形) 熟練的；精通的　(動) 使適應；調整
adequate	adequate ['ædəkwɪt] (形) 足夠的；充分的　(形) 令人滿意的；適當的
adhere	adhere [əd'hɪr] (動) 遵守；信守　粘附；黏著
adherent	adherent [əd'hɪrənt] (形) 忠實的；堅定支持的　(名) 支持者；信徒
adhesive	adhesive [əd'hɛsɪv] (形) 黏著的；粘合的　(名) 黏合劑；膠水
adjacent	adjacent [ə'dʒesənt] (形) 相鄰的；毗鄰的　(形) 靠近的；鄰接的
adjective	adjective ['ædʒɪktɪv] (名) 形容詞　(形) 描述性的；修飾性的
adjoin	adjoin [ə'dʒɔɪn] (動) 與...相鄰；毗鄰　(動) 靠近；接近
adjoining	adjoining [ə'dʒɔɪnɪŋ] (形) 相鄰的；毗鄰的　(形) 接著的；相連的
adjourn	adjourn [ə'dʒɝn] (動) 暫停；休會　散會；延期
adjunct	adjunct ['ædʒʌŋkt] (名) 附加物；兼職教師　(形) 附加的；兼職的
adjust	adjust [ə'dʒʌst] (動) 調整；適應　(動) 調節；改變
adjustable	adjustable [ə'dʒʌstəbəl] (形) 可調整的；可調節的
adjustment	adjustment [ə'dʒʌstmənt] (名) 調整；適應　(名) 調節；改正
administer	administer [əd'mɪnɪstɚ] (動) 管理；執行　(動) 施予；供給
administration	administration [ədmɪnɪ'streʃən] (名) 管理；行政　(名) 政府部門；內閣
administrative	administrative [əd'mɪnɪˌstretɪv] (形) 行政的；管理的　(形) 與政府部門有關的
administrator	administrator [əd'mɪnɪˌstretɚ] (名) 管理者；行政人員　(名) 遺產管理人
admirable	admirable ['ædmərəbəl] (形) 值得欽佩的；令人敬佩的
admiral	admiral ['ædmərəl] (名) 海軍上將；旗艦司令官
admiration	admiration [ædmə'reʃən] (名) 欽佩；敬佩　(名) 讚美；崇拜
admire	admire [əd'mɪr] (動) 欣賞；讚美　(動) 仰慕；崇拜
admission	admission [əd'mɪʃən] (名) 錄取；入學　(名) 承認；招認
admit	admit [əd'mɪt] (動) 承認；坦白　(動) 允許進入；放行
admittedly	admittedly [əd'mɪtɪdli] (副) 誠然；確實　公認地；不可否認地
ado	ado [ə'du] (名) 麻煩；費力　(動) 製造麻煩；折騰
adolescence	adolescence [ˌædə'lɛsəns] (名) 青春期；青少年時期　(名) 青春期特有的行為或特徵
adolescent	adolescent [ˌædə'lɛsənt] (名) 青少年；十幾歲的人　(形) 青春期的；少年的
adopt	adopt ['ɑdɑpt] (動) 採納；接受　(動) 收養；領養
adopted	adopted [ə'dɑptɪd] (形) 被領養的；經改編的　(動) 採納；收養
adoption	adoption [ə'dɔpʃən] (名) 領養；採納
adoptive	adoptive ['ɑdɑptɪv] (形) 收養的；領養的　(形) 適應的；有適應能力的
adorable	adorable [ə'dɔrəbəl] (形) 可愛的；令人喜愛的
adoration	adoration [ˌædə'reʃən] (名) 崇拜；愛慕　(名) 深深的敬愛；尊敬
adore	adore [ə'dɔr] (動) 喜愛；愛慕　(動) 非常喜歡；崇拜
adorn	adorn ['dɔrn] (動) 裝飾；點綴　(動) 佩戴；穿戴
adornment	adornment [ə'dɔrnmənt] (名) 裝飾品；裝飾　(動) 裝飾；點綴
adrenalin	adrenalin [ə'drɛnəlɪn] (名) 腎上腺素；腎上腺激素
adulation	adulation [ˌædʒə'leʃən] (名) 過度讚美；奉承
adult	adult [ə'dʌlt] (名) 成人；大人　(形) 成人的；成熟的
adulthood	adulthood [ə'dʌltˌhʊd] (名) 成年期；成人階段　(名) 成熟；長大成人
advance	advance [əd'væns] (動) 前進；推進　(名) 進步；預付款
advanced	advanced [əd'vænst] (形) 先進的；高級的　(動) 促進；推動
advancement	advancement [əd'vænsmənt] (名) 進步；晉升　(名) 推進；促進
advantage	advantage [əd'væntɪdʒ] (名) 優勢；好處　(動) 有利於；對某人有利
advantageous	advantageous [əd'væntɪdʒəs] (形) 有利的；優於他人的　有好處的；對...有益的
advent	advent ['æd.vɛnt] (名) 到來；來臨　(名) 聖誕節前的四週
adventure	adventure [əd'vɛntʃɚ] (名) 冒險；冒險經歷　(動) 冒險；大膽嘗試
adventurer	adventurer [əd'vɛntʃərɚ] (名) 冒險家；探險家
adventurous	adventurous [əd'vɛntʃərəs] (形) 冒險的；膽大的　愛尋求刺激的
adverb	adverb ['ɛdvɜb] (名) 副詞；修飾詞
adverse	adverse [æd'vɝs] (形) 不利的；有害的　(形) 對立的；敵對的
adversely	adversely [əd'vɝsli] (副) 有害地；不利地　負面地；反對地
advert	advert ['æd.vɚt] (名) 廣告；宣傳　(動) 登廣告；宣傳
advertise	advertise ['ædvɚˌtaɪz] (動) 登廣告；宣傳　刊登廣告
advertisement	advertisement [ˌædvɚ'taɪzmənt] (名) 廣告；宣傳　(動) 刊登廣告
advertiser	advertiser [ædvɚ'taɪzɚ] (名) 廣告商；廣告主
advertising	advertising ['ædvɚˌtaɪzɪŋ] (名) 廣告；廣告業　(動) 宣傳；刊登廣告
advertize	advertize ['ædvɚˌtaɪz] (動) 宣傳；廣告宣傳　(動) 公告；通知
advice	advice [əd'vaɪs] (名) 建議；勸告　(動) 建議；勸告
advisable	advisable [əd'vaɪzəbəl] (形) 明智的；適當的　值得建議的；可取的
advise	advise [əd'vaɪz] (動) 建議；勸告　(動) 通知；告知
adviser	adviser [əd'vaɪzɚ] (名) 顧問；建議人　(名) 指導老師；輔導員
advisor	advisor [əd'vaɪzɚ] (名) 顧問；建議者　(名) 指導老師；輔導員
advisory	advisory [əd'vɪzərɪ] (形) 諮詢的；顧問的　(名) 忠告；公告
advocate	advocate ['ædvəˌket] (動) 提倡；主張　(名) 提倡者；律師
aerate	aerate ['ɛreɪt] (動) 使通風；充氣
aerial	aerial ['ɛriəl] (形) 空中的；從空中的　(名) 天線；空中的東西
aerobics	aerobics [ɛ'robɪks] (名) 有氧運動；有氧健身操
aerodynamics	aerodynamics [ˌɛrəʊdaɪ'næmɪks] (名) 空氣動力學；流體力學
aerophobia	aerophobia [ˌɛrə'fobɪə] (名) 懼高症；害怕飛行
aerospace	aerospace ['ɛrəspeɪs] (名) 航太；航空航天　(形) 航太的；航空航天的
aesthetic	aesthetic [ɛs'θɛtɪk] (形) 美學的；審美的　(名) 美感；審美觀點
aesthetics	aesthetics [ɛs'θɛtɪks] (名) 美學；審美標準　(名) 審美觀；美感
afar	afar [ə'fɑr] (副) 遠處；遠方　(介) 距離...遠
affable	affable ['æfəbəl] (形) 親切的；友善的　(形) 和藹的；容易相處的
affair	affair [ə'fɛr] (名) 事情；事務　(名) 婚外情；風流韻事
affect	affect [ə'fɛkt] (動) 影響；影響到　(名) 情感；感受
affection	affection [ə'fɛkʃən] (名) 喜愛；疼愛　(名) 感情；情感
affectional	affectional [ə'fɛkʃənl] (形) 感情的；情感的　(形) 充滿感情的；親切的
affectionate	affectionate [ə'fɛkʃənət] (形) 充滿愛心的；親切的　(動) 表現關愛；示好
affectionately	affectionately [ə'fɛkʃənɪtli] (副) 親切地；溫柔地　(副) 深情地；充滿愛意地
affiliate	affiliate [ə'fɪlɪˌet] (動) 使隸屬於；關聯　(名) 附屬公司；分公司
affiliation	affiliation [əˌfɪli'eʃən] (名) 隸屬；關係　(名) 附屬機構；分支
affirm	affirm [ə'fɝm] (動) 肯定；確認　(動) 聲明；宣稱
affirmation	affirmation [ə'fɝməʃən] (名) 肯定；確認　(名) 證實；申明
affirmative	affirmative [ə'fɝmətɪv] (形) 肯定的；正面的　(副) 肯定地；贊成地
affix	affix [ə'fɪks] (名) 詞綴；附加物　(動) 貼上；附加
afflict	afflict [ə'flɪkt] (動) 使痛苦；折磨　(動) 使患病；侵襲
affliction	affliction [ə'flɪkʃən] (名) 痛苦；折磨　(名) 疾病；不幸
afflictive	afflictive [ə'flɪktɪv] (形) 令人痛苦的；造成苦惱的
affluence	affluence ['æfluəns] (名) 財富；富裕　(名) 充足；豐富
affluent	affluent ['æfluənt] (形) 富裕的；富有的　(形) 充足的；豐富的
affluential	affluential [ə'flʊən∫əl] (形) 富有的；有錢的　(形) 影響力大的；有勢力的
afford	afford [ə'fɔrd] (動) 負擔得起；買得起　(動) 提供；給予
affordable	affordable [ə'fɔrdəbl] (形) 負擔得起的；價格合理的
afforest	afforest [ə'fɔrɪst] (動) 造林；植林
afforestation	afforestation [əˌfɔrɪs'teʃən] (名) 造林；植林
afraid	afraid [ə'frɛd] (形) 害怕的；恐懼的　(形) 擔心的；憂慮的
after	after ['æftɚ] (介) 在…之後；追求　(連) 在…之後　(形) 後面的；以後的
aftermath	aftermath ['æftɚˌmæθ] (名) 後果；後遺症　(名) 餘波；影響
afternoon	afternoon [ˌæftɚ'nun] (名) 下午；午後
afterward	afterward ["æftɚwɚd"] (副) 之後；後來　(連) 隨後；然後
afterwards	afterwards ['æftɚwɔrdz] (副) 之後；後來　(連) 然後；隨後
again	again [ə'gɛn] (副) 再；又　(副) 再一次；重複
against	against [ə'gɛnst] (介) 反對；違反　(介) 靠著；對著
agate	agate ['ægɪt] (名) 瑪瑙；縞瑪瑙　(形) 瑪瑙製的；堅硬的
age	age ['edʒ] (名) 年齡；時代　(動) 變老；老化
aged	aged ['edʒd] (形) 年老的；老年的　(形) 陳年的；有年份的
agency	agency ['edʒənsi] (名) 代理機構；仲介公司　(名) 行動；作用；力量
agenda	agenda [ə'dʒɛndə] (名) 議程；日程　(名) 目標；計畫
agent	agent ['edʒənt] (名) 代理人；經紀人　(名) 代理物；媒介
aggravate	aggravate ['æɡrəˌvet] (動) 使惡化；加重　(動) 激怒；使生氣
aggravating	aggravating [ə'ɡrævətɪŋ] (形) 令人惱火的；使人煩躁的　(形) 使情況更糟的；加重的
aggregate	aggregate (名) [ˈægrəgɪt] 總和；合計　(動) [ˈægrəˌget] 合併；聚集　(形) 合成的；集合的
aggregation	aggregation [ə'grɛgʃən] (名) 聚合；集合　(名) 總數；彙總
aggression	aggression [ə'ɡrɛʃən] (名) 侵略；攻擊　(名) 好鬥；挑釁
aggressive	aggressive [ə'grɛsɪv] (形) 好鬥的；富有進攻性的　(形) 積極進取的；主動的
aggressor	aggressor [ə'grɛsɚ] (名) 侵略者；挑釁者　(形) 具侵略性的；好鬥的
agile	agile ['ædʒaɪl] (形) 靈活的；敏捷的　(形) 反應迅速的；機動的
agility	agility [ə'dʒɪlɪti] (名) 靈活性；敏捷性　(名) 身體的靈活和快速反應
aging	aging ['eɪdʒɪŋ] (名) 衰老；老化　(動) 變老；使老化　(形) 老的；衰退的
agitate	agitate ['ædʒəˌtet] (動) 煽動；激怒　(動) 攪動；搖晃
agitated	agitated ['ædʒəˌtetɪd] (形) 激動的；不安的　(動) 使激動；使不安
agitation	agitation [ˌædʒɪ'teʃən] (名) 激動；騷動　(名) 攪動；振動
ago	ago ['əɡo] (副) 以前；前...時間　(介) 在...之前
agonize	agonize ['ægəˌnaɪz] (動) 為...感到痛苦；折磨；使極度擔憂
agonizing	agonizing ['ægəˌnaɪzɪŋ] (形) 令人極度痛苦的；使人苦惱的
agonizingly	agonizingly [ə'ɡɑnɪzɪŋli] (副) 痛苦地；極其難受地　令人難以忍受的方式
agony	agony ['æɡəni] (名) 極度的痛苦；劇烈的痛楚
agrarian	agrarian ['ɛɡrɛrɪən] (形) 農業的；農民的　(名) 農民；農業工作者
agree	agree [ə'gri] (動) 同意；贊成　(動) 一致；相符
agreeable	agreeable [ə'griəbəl] (形) 令人愉快的；討人喜歡的　(形) 同意的；樂意的
agreement	agreement [ə'grɪmənt] (名) 協議；同意　(動) 同意；達成共識
agricultural	agricultural [͵ægrɪ'kʌltʃɚəl] (形) 農業的；與農業有關的　農村的；農業社會的
agriculture	agriculture ['æɡrɪˌkʌltʃɚ] (名) 農業；農耕　(形) 農業的；農村的
ahead	ahead [ə'hɛd] (副) 在前面；向前　(形) 領先的；在…前面的
AI	AI ['e aɪ] (名) 人工智慧；AI
aid	aid ['ed] (名) 援助；幫助　(動) 幫助；協助
aide	aide ['ed] (名) 助手；助理　(名) 援助；幫助
aids	aids ['edz] (名) 幫助；助手　(動) 幫助；協助
aileron	aileron ['elərɑn] (名) 副翼；飛機機翼上控制傾斜的活動面
ailing	ailing ['elɪŋ] (形) 生病的；衰退的　(動) 患病；衰落
ailment	ailment ['eɪlmənt] (名) 疾病；小病　(名) 問題；缺陷
aim	aim [em] (名) 目標；目的　(動) 瞄準；以...為目標
air-conditioned	air-conditioned [ɛr 'kənˌdɪʃənd] (形) 有空調的；裝有冷氣的
air	air ['ɛr] (名) 空氣；大氣　(動) 播放；廣播　(形) 空中的；航空的
airborne	airborne ['ɛrˌborn] (形) 在空中的；由飛機運送的　(形) 傳播中的；流行的
aircraft	aircraft ['ɛrkræft] (名) 飛機；航空器
airforce	airforce ['ɛrˌfɔrs] (名) 空軍；空中力量
airlift	airlift ['ɛrˌlɪft] (名) 空中運輸；空運　(動) 用飛機運送；空運
airline	airline ['ɛrlaɪn] (名) 航空公司；航線
airliner	airliner ['ɛrˌlaɪnɚ] (名) 客運飛機；大型客機
airmail	airmail ['ɛrmeɪl] (名) 航空郵件；航空信　(動) 用航空郵件寄送
airplane	airplane ['ɛrpleɪn] (名) 飛機；航空器
airport	airport ['ɛrˌpɔrt] (名) 機場；航空站
airtight	airtight ['ɛrta͜ɪt] (形) 密閉的；不透氣的　(形) 無懈可擊的；完全的
airway	airway ['ɛrˌwe] (名) 氣道；呼吸道
aisle	aisle ['aɪˌsəl] (名) 走廊；通道　(名) 飛機座位之間的通路
alarm	alarm ['ɑlɑrm] (名) 警報；鬧鐘　(動) 使驚恐；警告　(形) 警報的；報警的
alarming	alarming [ə'lɑrmɪŋ] (形) 令人擔憂的；令人警覺的
albeit	albeit [ɔl'bɪt] (連) 雖然；儘管　(副) 雖然；然而
album	album ['ælbəm] (名) 相冊；集錄　(名) 專輯；唱片
alcohol	alcohol ['ælkəˌhɔl] (名) 酒精；酒　(形) 含酒精的；酒精的
alcoholic	alcoholic [ˌælkə'hɔlɪk] (形) 含酒精的；酒精性的　(名) 酗酒者；酒精中毒患者
ale	ale ['ɛl] (名) 麥芽酒；淡啤酒
alert	alert ['alɚt] (形) 警覺的；機敏的　(動) 警告；提醒　(名) 警報；警告
algae	algae ['ældʒi] (名) 藻類；水藻
algebra	algebra ['ældʒəbrə] (名) 代數；用字母代表數字的數學方法
alibi	alibi ['æləˌbaɪ] (名) 不在場證明；藉口
alien	alien ['eljən] (名) 外星人；陌生人　(形) 外星的；陌生的
alienate	alienate ['ɛljəˌnet] (動) 使疏遠；使孤立　使失去支持
align	align [ə'laɪn] (動) 排成一直線；使一致　(動) 支持；站在…一邊
alignment	alignment [ə'laɪnmənt] (名) 對齊；排列　(名) 聯盟；結盟
alike	alike ['əlɑɪk] (形) 相似的；一樣的　(副) 同樣地；都一樣地
alimony	alimony ['æləˌmoʊni] (名) 贍養費；離婚後一方支付給另一方的生活費
