id,word,moe_level,kk_phonetics,definition_zh,example_sentence,sentence_zh,cefr_level,grammar_pattern,word_count,subject_type,source,reviewed,notes
24,abode,,ə'bod,(名) 住所；居所,The old cottage that the artist chose as an abode looked peaceful.,那位藝術家選擇作為住所的老農舍看起來十分寧靜。,A2,adj_clause,12,noun phrase,Claude AI,,
25,abolish,5,ə'bɑlɪʃ,(動) 廢除；廢止,"If the school abolishes the uniform policy, students can dress more freely.",如果學校廢除制服規定，學生就能穿著更自由。,B1,conditional_1,13,noun,Claude AI,,
26,aboriginal,6,ˌæbə'rɪdʒənl,(形) 原住民的；土著的　(名) 原住民；土著,Aboriginal cultures in Taiwan are rich and diverse.,台灣的原住民文化豐富而多元。,A2,simple,9,noun phrase,Claude AI,,
27,aborigine,,ˌæbə'rɪdʒəni,(名) 原住民；土著,The museum opened a special exhibit to honor Taiwan's aborigines.,博物館開設了一個特別展覽，以表彰台灣的原住民。,B1,infinitive_purpose,10,noun phrase,Claude AI,,
28,abort,,ə'bɔrt,(動) 中止；放棄　(名) 中止行動,"The rocket launch failed, so the team had to abort the mission.",火箭發射失敗，所以團隊不得不中止任務。,A2,compound,13,noun phrase,Claude AI,,
29,abortion,5,ə'bɔrʃən,(名) 墮胎；流產,The debate over abortion continues because people hold very different values.,關於墮胎的辯論持續不斷，因為人們持有非常不同的價值觀。,A2,adv_clause,12,noun_phrase,Claude AI,,
30,abound,6,ə'baʊnd,(動) 大量存在；充滿,"Having abounded in fresh seafood for centuries, this coastal town attracts many food lovers.",這座沿海小鎮數百年來盛產新鮮海鮮，吸引了許多美食愛好者。,B1-B2,participial_perf,14,noun phrase,Claude AI,,
31,about,1,ə'baʊt,(介) 關於；大約　(副) 到處；附近,The book about animals that the teacher recommended is very interesting.,老師推薦的那本關於動物的書非常有趣。,A2,adj_clause,13,noun phrase,Claude AI,,
32,above,1,ə'bʌv,(介) 在…上方；高於　(副) 在上面；以上,"The score is above 90, so the class can have a free period.",分數高於90分，所以這堂課可以自由活動。,A2,compound,14,noun phrase,Claude AI,,
33,abrasion,,ə'breʒən,(名) 磨損；擦傷,"If the climber wore proper gloves, the rope would cause less abrasion on the hands.",如果那位登山者戴了適當的手套，繩子對手部造成的磨損就會少一些。,B1,conditional_2,14,noun phrase (the rope),Claude AI,,
34,abreast,,ə'brɛst,(形) 並列的；不落後的,Daily reading keeps students abreast of current events.,每天閱讀讓學生跟上時事。,A2,simple,8,gerund phrase,Claude AI,,
35,abroad,1,ə'brɔd,(副) 在國外；到國外,"Studying abroad, many students discover new cultures and gain confidence.",許多學生在國外求學時，發現了新文化並建立了自信。,B1,participial,12,noun phrase,Claude AI,,
36,abrupt,5,ə'brʌpt,(形) 突然的；唐突的,The music stopped abruptly because the speaker lost power suddenly.,音樂突然停止，因為喇叭突然沒電了。,A2,adv_clause,10,noun phrase,Claude AI,,
37,abruptly,5,ə'brʌptlɪ,(副) 突然地；唐突地,Hardly had the music started when the power went out abruptly.,音樂幾乎才剛開始，電力就突然中斷了。,B1-B2,inversion,13,noun phrase,Claude AI,,
38,absence,2,'æbsəns,(名) 缺席；不在,The absence that worried the teacher most was Tom's.,最讓老師擔心的缺席是湯姆的。,A2,adj_clause,10,noun_phrase,Claude AI,,
39,absent-minded,,'æbsəntˌmaɪndɪd,(形) 心不在焉的；健忘的,The professor set a daily alarm to avoid being absent-minded during class.,那位教授設定每日鬧鐘，以避免上課時心不在焉。,B1,infinitive_purpose,13,noun phrase (title + noun),Claude AI,,
40,absent,2,'æbsənt,(形) 缺席的；不在的,"Mark was absent from class, so the teacher called his parents.",Mark缺課，所以老師打電話給他的父母。,A2,compound,12,name,Claude AI,,
41,absentee,,ˌæbsən'ti,(名) 缺席者；曠課者,The teacher marked three absentee students in the morning roll call.,老師在早上點名時記錄了三位缺席的學生。,A2,simple,11,noun phrase (the teacher),Claude AI,,
42,absolute,4,'æbsəˌlut,(形) 絕對的；完全的,The classroom stayed silent because the teacher required absolute concentration.,因為老師要求絕對的專注，教室裡保持安靜。,A2,adv_clause,10,noun_phrase,Claude AI,,
43,absolutely,4,æbsə'lutlɪ,(副) 絕對地；完全地,"Trained hard every day, the student felt absolutely ready for the exam.",每天努力練習，這位學生感到自己已完全準備好迎接考試。,B1,participial,12,noun,Claude AI,,
44,absolve,,æb'zɑlv,(動) 赦免；免除責任,The judge absolved the student who had told the full truth.,法官赦免了那位說出全部實情的學生。,A2,adj_clause,11,noun_phrase,Claude AI,,
45,absorb,4,əb'sɔrb,(動) 吸收；全神貫注,"If students read every day, their brains will absorb new words more easily.",如果學生每天閱讀，他們的大腦將更容易吸收新單字。,B1,conditional_1,13,noun phrase,Claude AI,,
46,abstain,,æb'sten,(動) 戒除；棄權,Athletes should abstain from junk food before a big competition.,運動員在大型比賽前應該戒除垃圾食物。,A2,simple,10,noun,Claude AI,,
47,abstract,4,,(形) ['æbstrækt] 抽象的；深奧的　(名) ['æbstrækt] 摘要；概要　(動) [æb'strækt] 摘錄；提取,Artists use abstract shapes to express emotions beyond words.,藝術家使用抽象的形狀來表達超越言語的情感。,B1,infinitive_purpose,10,noun phrase,Claude AI,,
48,abstraction,6,ˌæb'strækʃən,(名) 抽象概念；抽象化,"Math uses abstraction, so students must think beyond concrete numbers.",數學運用抽象概念，因此學生必須超越具體數字來思考。,A2,compound,11,noun,Claude AI,,
49,abstruse,,æb'strus,(形) 深奧的；難解的,The philosophy text seemed abstruse because the concepts were too complex.,這本哲學課本看起來深奧難懂，因為其中的概念太複雜了。,A2,adv_clause,11,noun phrase,Claude AI,,
50,absurd,5,æb'sɝd,(形) 荒謬的；可笑的,"Having heard the absurd excuse, the teacher shook her head in disbelief.",聽了那個荒謬的藉口後，老師難以置信地搖了搖頭。,B1-B2,participial_perf,12,title/noun,Claude AI,,
51,abundance,6,ə'bʌndəns,(名) 豐富；大量,The market sells fresh fruit that is available in great abundance.,那個市場販售大量新鮮水果。,A2,adj_clause,11,noun phrase,Claude AI,,
52,abundant,5,ə'bʌndənt,(形) 豐富的；大量的,"Taiwan's mountains receive abundant rainfall, so rivers rarely run dry.",台灣山區雨量充沛，因此河流很少乾涸。,A2,compound,12,noun phrase,Claude AI,,
53,abundantly,5,ə'bʌndəntlɪ,(副) 充裕地；大量地,"If the school garden received more sunlight, vegetables would grow abundantly.",如果學校菜園得到更多陽光，蔬菜就會大量生長。,B1,conditional_2,12,noun phrase,Claude AI,,
54,abuse,5,,(名) [ə'bjus] 濫用；虐待　(動) [ə'bjuz] 濫用；虐待,Drug abuse causes serious damage to a person's health.,藥物濫用會對一個人的健康造成嚴重傷害。,A2,simple,10,noun phrase,Claude AI,,
55,abusive,,ə'bjusɪv,(形) 辱罵的；虐待的,"Feeling threatened, the player began using abusive language toward teammates.",感到受威脅時，那名球員開始對隊友使用辱罵性的語言。,B1,participial,11,noun phrase,Claude AI,,
56,academic,4,ækə'dɛmɪk,(形) 學術的；學業的　(名) 學者；大學教師,Students perform better academically when their parents show strong support.,當父母給予大力支持時，學生的學業表現會更好。,A2,adv_clause,11,noun,Claude AI,,
57,academy,6,ə'kædəmɪ,(名) 學院；學術團體,Only after joining the academy did young artists gain true recognition.,唯有加入學院之後，年輕藝術家才獲得真正的肯定。,B1-B2,inversion,11,noun phrase,Claude AI,,
58,accelerate,5,æk'sɛlɚet,(動) 加速；促進,The new train line accelerates the progress that students make on daily commutes.,新的火車路線加速了學生每日通勤的進步效率。,A2,adj_clause,13,noun_phrase,Claude AI,,
59,accelerated,,æk'sɛlɚetɪd,(形) 加速的；加快的　(動) 加速；促進,The school offers an accelerated program to help gifted students graduate early.,這所學校提供加速課程，幫助資優生提早畢業。,B1,infinitive_purpose,13,noun_phrase,Claude AI,,
60,acceleration,,ˌækˌsɛlɚ'eʃən,(名) 加速；加速度,"The car's acceleration was impressive, and the passengers felt a strong push.",這輛車的加速表現令人印象深刻，乘客感受到強烈的推力。,A2,compound,13,noun phrase,Claude AI,,
61,accent,4,,(名) [ˈæksɛnt] 口音；腔調　(動) [ækˈsɛnt] 強調；使突出,The foreign teacher's accent sounds very natural and clear.,那位外籍老師的口音聽起來非常自然且清晰。,A2,simple,10,noun phrase,Claude AI,,
62,accentuate,,æk'sɛntʃʊet,(動) 強調；使突出,Dark colors accentuate the design because they create strong contrast.,深色能使設計更突出，因為它們製造強烈對比。,A2,adv_clause,11,noun phrase,Claude AI,,
63,accept,2,æk'sɛpt,(動) 接受；承認,"Accepted into the top university, Lisa felt proud of her hard work.",被頂尖大學錄取後，Lisa 對自己的努力感到驕傲。,B1,participial,13,name,Claude AI,,
64,acceptable,3,æk'sɛptəbl,(形) 可接受的；令人滿意的,The score that most teachers find acceptable is above sixty.,大多數老師認為可接受的分數是六十分以上。,A2,adj_clause,11,noun phrase,Claude AI,,
65,acceptance,4,æk'sɛptəns,(名) 接受；認可,"If the school sends an acceptance letter, the student should reply quickly.",如果學校寄來錄取通知，該學生應該盡快回覆。,B1,conditional_1,14,noun_phrase,Claude AI,,
66,accepted,,æk'sɛptɪd,(形) 被接受的；公認的,Hard work is the accepted key to success in school.,努力是學校中公認的成功關鍵。,A2,simple,11,noun phrase,Claude AI,,
67,access,4,'æksɛs,(名) 入口；使用權　(動) 存取；進入,Students need a library card to access the online database.,學生需要圖書館借書證才能使用線上資料庫。,B1,infinitive_purpose,10,noun,Claude AI,,
68,accessible,5,æk'sɛsəbl,(形) 可進入的；易獲得的,"The new library is accessible, and all students can borrow books freely.",新圖書館方便進入，所有學生都可以自由借書。,A2,compound,13,noun phrase,Claude AI,,
69,accessory,6,æk'sɛsərɪ,(名) 配件；附屬品　(形) 附加的；輔助的,The bag looks more stylish because the accessories match the outfit perfectly.,這個包看起來更時尚，因為配件與整套服裝完美搭配。,A2,adv_clause,13,noun_phrase,Claude AI,,
70,accident,2,'æksədənt,(名) 意外；事故,"Having witnessed a serious accident, the driver called for help immediately.",目睹了一場嚴重事故後，那位駕駛立刻呼救。,B1-B2,participial_perf,12,noun phrase (the driver),Claude AI,,
71,accidental,4,æk'sɪdɛntl,(形) 意外的；偶然的,The fire that broke out in the lab was completely accidental.,實驗室發生的火災完全是意外。,A2,adj_clause,11,noun phrase,Claude AI,,
72,acclaim,6,ə'klem,(名) 喝采；讚揚　(動) 歡呼；稱讚,"The young pianist performed brilliantly, and the audience responded with loud acclaim.",這位年輕鋼琴家表現出色，觀眾以熱烈的喝采回應。,A2,compound,13,noun phrase,Claude AI,,
73,acclaimed,,ə'klemd,(形) 廣受好評的；備受讚譽的,"If this novel were more widely read, it would become an acclaimed classic.",如果這本小說被更廣泛閱讀，它將會成為一部廣受好評的經典。,B1,conditional_2,14,noun phrase,Claude AI,,
74,accolade,,'ækəˌled,(名) 榮譽；獎讚,The young pianist received a great accolade at the national competition.,這位年輕鋼琴家在全國比賽中獲得極高榮譽。,A2,simple,11,noun phrase,Claude AI,,
75,accommodate,5,ə'kɑməˌdet,(動) 容納；提供住宿,"Designed to accommodate large crowds, the new stadium hosts major sports events.",這座新體育場設計可容納大批人群，舉辦重要體育賽事。,B1,participial,13,noun phrase,Claude AI,,
76,accommodating,,ə'kɑməˌdetɪŋ,(形) 樂於助人的；隨和的,The hotel staff were so accommodating that every guest felt welcome.,飯店員工非常樂於助人，以至於每位客人都感到受歡迎。,A2,adv_clause,11,noun phrase,Claude AI,,
77,accommodation,5,əˌkɑmə'deʃən,(名) 住宿；accommodation,Only after booking accommodation did the travel club announce the trip dates.,旅遊社在訂好住宿之後，才公布行程日期。,B1-B2,inversion,12,noun phrase,Claude AI,,
78,accommodations,5,ə'kɑməˌdeʃənz,(名) 住宿；膳宿,The hotel accommodations that the school booked were clean and comfortable.,學校預訂的飯店住宿既乾淨又舒適。,A2,adj_clause,12,noun phrase,Claude AI,,
79,accompany,4,ə'kʌmpənɪ,(動) 陪同；伴隨,A school nurse accompanied the students to visit the hospital.,一位學校護士陪同學生們去參觀醫院。,B1,infinitive_purpose,10,noun phrase,Claude AI,,
80,accomplish,4,ə'kɑmplɪʃ,(動) 完成；達成,"The team worked hard all week, and they accomplished every goal.",這個團隊整週努力工作，並完成了每一個目標。,A2,compound,11,noun phrase,Claude AI,,
81,accomplished,,ə'kɑmplɪʃt,(形) 熟練的；有才藝的,The accomplished pianist won first place at the national competition.,那位技藝精湛的鋼琴家在全國比賽中獲得第一名。,A2,simple,11,noun phrase,Claude AI,,
82,accomplishment,4,ə'kɑmplɪʃmənt,(名) 成就；成績,Winning the science fair felt like a great accomplishment because the project took months.,贏得科學展覽感覺像是一項巨大成就，因為這個專題花了好幾個月。,A2,adv_clause,13,gerund,Claude AI,,
83,accord,5,ə'kɔrd,(名) 協議；一致　(動) 給予；符合,"Reached in accord with both sides, the peace agreement ended years of conflict.",這份和平協議在雙方一致同意下達成，結束了多年的衝突。,B1,participial,13,noun phrase,Claude AI,,
84,accordance,6,ə'kɔrdəns,(名) 一致；符合,The rules that students follow must be in accordance with school policy.,學生遵守的規定必須符合學校政策。,A2,adj_clause,13,noun phrase,Claude AI,,
85,accordingly,6,ə'kɔrdɪŋlɪ,(副) 因此；照著辦,"If the weather turns bad, the outdoor event will be canceled accordingly.",如果天氣變差，戶外活動將因此取消。,B1,conditional_1,12,noun_phrase,Claude AI,,
86,accordion,,ə'kɔrdɪən,(名) 手風琴,The old musician plays the accordion at the night market every weekend.,那位老音樂家每個週末在夜市演奏手風琴。,A2,simple,13,noun phrase,Claude AI,,
87,account,2,ə'kaʊnt,(名) 帳戶；帳號　(動) 說明；解釋,Students need a school email account to access online learning materials.,學生需要一個學校電子郵件帳號來使用線上學習資料。,B1,infinitive_purpose,11,noun,Claude AI,,
88,accountable,6,ə'kaʊntəbl,(形) 負有責任的；應負責的,"The class leader made a mistake, so the class leader must be accountable for it.",班長犯了錯，因此班長必須為此負責。,A2,compound,14,noun phrase,Claude AI,,
89,accountant,4,ə'kaʊntənt,(名) 會計師；會計人員,The accountant checked every number twice because the report was due tomorrow.,那位會計師把每個數字都核對了兩遍，因為報告明天就要交了。,A2,adv_clause,12,noun phrase,Claude AI,,
90,accounting,5,ə'kaʊntɪŋ,(名) 會計；帳務處理,"Having studied accounting for two years, the student handled the club's budget with ease.",在學習了兩年會計之後，那名學生輕鬆地處理了社團的預算。,B1-B2,participial_perf,14,noun,Claude AI,,
91,accredit,,ə'krɛdɪt,(動) 認可；授權,The university that the school board accredits offers strong science programs.,校董會認可的那所大學提供優秀的理科課程。,A2,adj_clause,13,noun_phrase,Claude AI,,
92,accretion,,ə'kriʃən,(名) 逐漸增長；積聚,"Coral reefs grow slowly, and their accretion takes thousands of years.",珊瑚礁生長緩慢，其積聚需要數千年的時間。,A2,compound,12,noun phrase,Claude AI,,
93,accuarately,,ə'kjʊrətlɪ,(副) 正確地；精確地,"If the lab equipment were calibrated, the results would be recorded more accurately.",如果實驗設備經過校準，結果就會被更精確地記錄下來。,B1,conditional_2,14,noun phrase,Claude AI,,
94,accumulate,6,ə'kjumjəˌlet,(動) 積累；累積,Dust accumulates on the shelves without regular cleaning.,沒有定期清潔，灰塵就會積在架子上。,A2,simple,9,noun,Claude AI,,
95,accumulation,6,əˌkjumjə'leʃən,(名) 積累；堆積,"Accumulated over years, the student's notes filled three thick binders.",這位學生的筆記累積多年，裝滿了三個厚厚的活頁夾。,B1,participial,11,noun phrase,Claude AI,,
97,accuracy,4,'ækjərəsi,(名) 準確性；精確度,Only after years of practice did the archer achieve such accuracy.,唯有經過多年練習，那位弓箭手才達到如此高的準確度。,B1-B2,inversion,11,noun phrase (the archer),Claude AI,,
98,accurate,3,'ækjərɪt,(形) 準確的；精確的,The weather report that the scientist made was completely accurate.,那位科學家所做的天氣預報完全準確。,A2,adj_clause,11,noun phrase,Claude AI,,
99,accurately,3,'ækjərɪtlɪ,(副) 準確地；精確地,Students must practice reading maps accurately to pass the geography test.,學生必須練習準確地讀地圖，以通過地理測驗。,B1,infinitive_purpose,13,noun,Claude AI,,
100,accursed,,ə'kɝsɪd,(形) 被詛咒的；令人厭惡的,"The old map marked the accursed forest, and no villager dared enter it.",古老的地圖標記了那片被詛咒的森林，沒有村民敢進入。,A2,compound,14,noun phrase,Claude AI,,
101,accusation,6,ˌækju'zeʃən,(名) 指控；控告；被控告的事,The accusation against the manager turned out to be false and unfair.,對經理的控告結果證明是虛假且不公正的。,B1,simple,12,noun,Claude AI,,
102,accuse,4,ə'kjuz,(動) 指控；控告　非難；譴責,"Although the witness accused the suspect of theft, the judge found insufficient evidence to convict him.",雖然證人指控嫌疑人偷竊，但法官發現證據不足而判其無罪。,B1,adv_clause,12,"noun (witness, judge)",Claude AI,,
103,accustom,6,ə'kʌstəm,(動) 使習慣；使適應,"Having accustomed ourselves to online learning, students adapted well to hybrid classes.",已經習慣了線上學習，學生們很好地適應了混合式課程。,B1,participial,12,noun (students),Claude AI,,
104,accustomed,,ə'kʌstəmd,(形) 習慣的；適應的　(動) 使習慣；使適應,Students accustomed to studying alone often struggle with group projects that require collaboration.,習慣於獨自讀書的學生常常在需要合作的小組專案中感到困難。,A2,adj_clause,12,noun,Claude AI,,
105,ace,,'es,(名) 王牌；高手　(動) 成功地完成；獲得優異成績　(形) 優秀的；一流的,"If you ace the CSAT exam, universities will offer you better scholarships.",如果你在學測中表現優異，大學將會提供更好的獎學金。,B1,conditional_1,12,gerund/infinitive,Claude AI,,
106,acetylcholine,,ˌæsə'tɪlˌkolɪn,(名) 乙醯膽鹼；神經傳遞物質,Acetylcholine is a chemical messenger that helps nerve cells communicate with muscles.,乙醯膽鹼是一種化學信使，幫助神經細胞與肌肉溝通。,B1,simple,13,scientific noun,Claude AI,,
107,ache for,,,(片) 渴望；想念　(片) ache for 渴望得到；迫不及待想要,"After months abroad, the exchange student ached for returning home to see family.",在國外待了幾個月後，這位交換學生渴望回家看望家人。,B1,infinitive_purpose,12,noun,Claude AI,,
108,ache,3,'ek,(名) 疼痛；酸痛　(動) 疼痛；酸痛,"After playing basketball for two hours, my legs and back ache from the intense exercise.",打了兩小時籃球後，我的腿和背部因為激烈運動而酸痛。,A2,compound,12,noun_phrase,Claude AI,,
109,achieve,3,ə'tʃiv,(動) 達成；完成；獲得,"Although the project was difficult, the team achieved its goal by working together consistently.",雖然這個專案很困難，但團隊透過持續合作達成了目標。,A2,adv_clause,13,noun,Claude AI,,
110,achievement,3,ə'tʃɪvmənt,(名) 成就；成就感；達成,"Having completed the challenging project, the team's achievement was recognized by the entire school.",完成了具有挑戰性的專案後，該團隊的成就獲得了整所學校的認可。,B1,participial_perf,12,noun_phrase,Claude AI,,
111,achoo,,ə'tʃu,(片) 打噴嚏的擬聲詞,The student who went achoo during the exam had to leave the classroom quickly.,在考試中打噴嚏(achoo)的那位學生必須快速離開教室。,A2,adj_clause,13,noun,Claude AI,,
112,acid,4,'æsɪd,(名) 酸；酸性物質　(形) 酸的；尖刻的,"Lemon juice contains citric acid, which gives it a sour and tangy flavor.",檸檬汁含有檸檬酸，使其具有酸酸的刺激味道。,A2,compound,13,noun,Claude AI,,
113,acidulous,,ə'sɪdʒələs,(形) 略帶酸味的；尖酸刻薄的,"If the professor's acidulous remarks were less biting, students would feel more comfortable asking questions during class.",如果教授那些尖酸刻薄的評論沒有那麼傷人，學生在課堂上會更願意提問。,B1,conditional_2,13,noun (professor's remarks),Claude AI,,
114,acknowledge,,ɪk'nɑlɪdʒ,(動) 承認；認可；表示感謝,The principal acknowledged the students' hard work at the school assembly.,校長在學校集會上表示感謝學生們的努力。,B1,simple,12,noun,Claude AI,,
115,acknowledgment,,ək'nɑlɪdʒmənt,(名) 承認；認可；感謝,"Receiving acknowledgment from the teacher, the student felt proud of her hard work.",收到老師的認可，那個學生為她的辛勤工作感到驕傲。,B1,participial,12,noun (the student),Claude AI,,
116,acme,,'ækmi,(名) 頂點；高峰；最高成就,"When the athlete reached the acme of her career, she won three Olympic gold medals in succession.",當這位運動員達到她職業生涯的高峰時，她連續獲得三枚奧運金牌。,B1,adv_clause,14,noun (athlete),Claude AI,,
117,acne,6,'ækni,(名) 青春痘；粉刺,Seldom does acne disappear overnight without proper skincare and treatment.,沒有適當的護膚和治療，青春痘很少會在一夜之間消失。,B1-B2,inversion,11,noun (acne),Claude AI,,
118,acolyte,,'ækəˌlaɪt,(名) 助手；門徒；追隨者,The politician surrounded himself with loyal acolytes who followed his every decision without question.,那位政治人物身邊圍繞著忠誠的追隨者，他們毫無疑問地跟隨他的每一個決定。,B1,adj_clause,13,noun_phrase,Claude AI,,
119,acoustic,,ə'kʊstɪk,(形) 聲學的；與聲音有關的　(名) 音響效果；聲學特性,The concert hall was designed with special acoustic materials to improve sound quality.,音樂廳採用特殊的聲學材料來改善音響效果。,B1,infinitive_purpose,12,noun,Claude AI,,
120,acquaint,5,ə'kwent,(動) 使認識；介紹；了解,The tour guide acquainted all visitors with the history and culture of this ancient temple.,導遊使所有遊客認識了這座古廟的歷史和文化。,B1,compound,12,noun,Claude AI,,
121,acquaintance,4,ə'kwentəns,(名) 認識的人；泛泛之交；認識,Making new acquaintances at school helps students build a wider social network.,在學校結交新認識的人有助於學生建立更廣泛的社交圈。,A2,simple,11,gerund,Claude AI,,
122,acquainted,,ə'kwentɪd,(形) 認識的；熟悉的　(動) 了解；使認識,"Before joining the debate club, Sarah became acquainted with the team members through online meetings.",在加入辯論社之前，莎拉透過線上會議與隊員變得熟悉。,A2,adv_clause,13,proper_noun,Claude AI,,
123,acquiesce,,ə'kwiɛs,(動) 默認；同意；順從,"Acquiescing to the school's new uniform policy, students gradually accepted the change without further complaint.",默認學校的新制服政策，學生逐漸接受了這項改變而不再抱怨。,B1,participial,12,noun (students),Claude AI,,
124,acquiescent,,ˌækwi'ɛsənt,(形) 默許的；順從的；不反對的,The manager's acquiescent attitude toward unfair policies disappointed many employees who expected leadership.,經理對不公平政策的默許態度讓許多期待領導力的員工感到失望。,B2,adj_clause,13,noun (The manager's acquiescent attitude),Claude AI,,
125,acquire,4,ə'kwaɪɚ,(動) 獲得；取得；學到,"If students acquire strong English skills now, they will succeed in future university entrance exams.",如果學生現在獲得強大的英語技能，他們將在未來的大學入學考試中成功。,B1,conditional_1,14,noun (students),Claude AI,,
126,acquired,,ə'kwaɪɚd,(形) 獲得的；後天習得的　(動) 獲得；取得,Learning a new language is an acquired skill that requires consistent practice.,學習新語言是一項後天習得的技能，需要持續練習。,B1,simple,12,noun (skill),Claude AI,,
127,acquirement,,ə'kwaɪɚmənt,(名) 取得；獲得；獲得的事物,Studying hard is essential to acquire the knowledge and skills needed for university entrance.,努力學習是為了取得大學入學所需的知識和技能。,B1,infinitive_purpose,13,gerund,Claude AI,,
128,acquisition,5,ə'kwɪzɪʃən,(名) 獲得；習得；所得物,The company's acquisition of a smaller competitor helped expand market share and strengthen business position.,這家公司對一家較小競爭對手的收購幫助了市場占有率的擴大和商業地位的加強。,B1,compound,12,noun,Claude AI,,
