word,kk_phonetics,chinese_meaning,count_114
free,/fri/,免費的；自由的,3
fruit,/frut/,水果,3
good,/ɡʊd/,好的,3
great,/ɡret/,很棒的；偉大的,3
hospital,/ˈhɑspɪtəl/,醫院,3
house,/haʊs/,房子,3
hurt,/hɜrt/,受傷；傷害,3
important,/ɪmˈpɔrtənt/,重要的,3
kitchen,/ˈkɪtʃən/,廚房,3
like,/laɪk/,像；喜歡,3
long,/lɔŋ/,長久的；長的,3
look,/lʊk/,尋找；看,3
lose,/luz/,失去；輸,3
machine,/məˈʃin/,機器,3
money,/ˈmʌni/,金錢,3
month,/mʌnθ/,月份,3
rise,/raɪz/,上升；加薪,3
sleep,/slip/,睡覺,3
story,/ˈstɔri/,故事,3
train,/tren/,火車,3
understand,/ˌʌndɚˈstænd/,理解,3
visitor,/ˈvɪzɪtɚ/,訪客,3
water,/ˈwɔtɚ/,水,3
abroad,/əˈbrɔd/,在國外,2
animal,/ˈænɪməl/,動物,2
big,/bɪɡ/,大的,2
bird,/bɜrd/,鳥,2
blow,/blo/,吹,2
brave,/brev/,勇敢的,2
bus,/bʌs/,公車,2
business,/ˈbɪznɪs/,商業；生意,2
busy,/ˈbɪzi/,忙碌的,2
cake,/kek/,蛋糕,2
car,/kɑr/,汽車,2
cent,/sɛnt/,分（貨幣）,2
child,/tʃaɪld/,兒童,2
comic,/ˈkɑmɪk/,漫畫,2
cookie,/ˈkʊki/,餅乾,2
dad,/dæd/,爸爸,2
daughter,/ˈdɔtɚ/,女兒,2
different,/ˈdɪfərənt/,不同的,2
difficult,/ˈdɪfɪˌkʌlt/,困難的,2
dinner,/ˈdɪnɚ/,晚餐,2
end,/ɛnd/,結束；盡頭,2
enjoy,/ɪnˈdʒɔɪ/,享受,2
example,/ɪɡˈzæmpəl/,例子,2
famous,/ˈfemɚs/,著名的,2
favorite,/ˈfevərɪt/,最喜歡的,2
fewer,/ˈfjuɚ/,更少的,2
find,/faɪnd/,發現；找到,2
friend,/frɛnd/,朋友,2
grandparent,/ˈɡrænd.pɛrənt/,祖父母,2
grow,/ɡro/,生長；成長,2
heat,/hit/,暖氣；熱,2
help,/hɛlp/,幫助,2
high,/haɪ/,高的；高中,2
himself,/hɪmˈsɛlf/,他自己,2
inside,/ɪnˈsaɪd/,在……裡面,2
invite,/ɪnˈvaɪt/,邀請,2
island,/ˈaɪlənd/,島嶼,2
land,/lænd/,土地,2
late,/let/,晚的；遲到,2
later,/ˈletɚ/,後來；之後,2
light,/laɪt/,燈光；光,2
lot,/lɑt/,大量,2
marry,/ˈmæri/,結婚,2
museum,/mjuˈziəm/,博物館,2
news,/njuz/,消息；新聞,2
newspaper,/ˈnjuzˌpepɚ/,報紙,2
open,/ˈopən/,開著的；開放,2
paper,/ˈpepɚ/,紙,2
parent,/ˈpɛrənt/,父母,2
party,/ˈpɑrti/,派對,2
pick,/pɪk/,採摘；選擇,2
place,/ples/,地方,2
plant,/plænt/,植物,2
popular,/ˈpɑpjəlɚ/,受歡迎的,2
problem,/ˈprɑbləm/,問題,2
public,/ˈpʌblɪk/,公共的,2
put,/pʊt/,放置,2
quite,/kwaɪt/,相當；十分,2
ready,/ˈrɛdi/,準備好的,2
rule,/rul/,規則,2
sacrifice,/ˈsækrɪˌfaɪs/,犧牲；放棄,2
share,/ʃɛr/,分享；共有,2
sheep,/ʃip/,綿羊,2
side,/saɪd/,方面；側面,2
steal,/stil/,搶奪；竊取,2
talk,/tɔk/,說話；談論,2
thunder,/ˈθʌndɚ/,雷；搶鋒頭,2
ticket,/ˈtɪkɪt/,票券,2
together,/təˈɡɛðɚ/,一起,2
treat,/trit/,對待,2
vacation,/veˈkeʃən/,假期,2
video,/ˈvɪdiˌo/,影片,2
walk,/wɔk/,散步；走路,2
way,/we/,方式；路,2
week,/wik/,星期；週,2
welcome,/ˈwɛlkəm/,歡迎,2
wish,/wɪʃ/,願望,2
writer,/ˈraɪtɚ/,作者,2
act,/ækt/,表現；行動,1
actually,/ˈæktʃuəli/,實際上；其實,1
afraid,/əˈfred/,害怕的,1
alone,/əˈlon/,獨自；唯一,1
anytime,/ˈɛniˌtaɪm/,隨時,1
answer,/ˈænsɚ/,回答；答案,1
appear,/əˈpɪr/,出現,1
arrive,/əˈraɪv/,到達,1
aunt,/ænt/,阿姨,1
bakery,/ˈbekəri/,麵包店,1
basketball,/ˈbæskɪtˌbɔl/,籃球,1
beach,/bitʃ/,海灘,1
bed,/bɛd/,床,1
begin,/bɪˈɡɪn/,開始,1
beside,/bɪˈsaɪd/,在……旁邊,1
bite,/baɪt/,咬,1
blindly,/ˈblaɪndli/,盲目地,1
body,/ˈbɑdi/,身體,1
box,/bɑks/,箱子,1
butterfly,/ˈbʌtɚˌflaɪ/,蝴蝶,1
camp,/kæmp/,營地,1
campground,/ˈkæmpˌɡraʊnd/,露營地,1
candle,/ˈkændəl/,蠟燭,1
candy,/ˈkændi/,糖果,1
care,/kɛr/,在乎；關心,1
cell,/sɛl/,手機（cell phone）,1
check,/tʃɛk/,查看；查閱,1
chocolate,/ˈtʃɑklɪt/,巧克力,1
choose,/tʃuz/,選擇,1
classmate,/ˈklæsˌmet/,同學,1
collect,/kəˈlɛkt/,收集,1
country,/ˈkʌntri/,國家,1
cover,/ˈkʌvɚ/,覆蓋,1
cry,/kraɪ/,哭泣,1
cup,/kʌp/,杯子,1
cute,/kjut/,可愛的,1
dance,/dæns/,跳舞,1
delicious,/dɪˈlɪʃəs/,美味的,1
doctor,/ˈdɑktɚ/,醫生,1
dog,/dɔɡ/,狗,1
drive,/draɪv/,駕車,1
dry,/draɪ/,乾燥的,1
earth,/ɜrθ/,地球,1
easily,/ˈizɪli/,輕易地,1
egg,/ɛɡ/,雞蛋,1
elementary,/ˌɛlɪˈmɛntəri/,小學的,1
enter,/ˈɛntɚ/,進入,1
evening,/ˈivnɪŋ/,傍晚,1
everybody,/ˈɛvriˌbɑdi/,每個人,1
excuse,/ɪkˈskjuz/,藉口,1
expect,/ɪkˈspɛkt/,期望,1
factory,/ˈfæktəri/,工廠,1
fail,/fel/,失敗,1
fix,/fɪks/,修理；解決,1
floor,/flɔr/,地板,1
fly,/flaɪ/,飛行,1
food,/fud/,食物,1
fool,/ful/,傻瓜,1
friendly,/ˈfrɛndli/,友善的,1
frog,/frɔɡ/,青蛙,1
front,/frʌnt/,前面,1
full,/fʊl/,滿的；飽的,1
fun,/fʌn/,有趣的；樂趣,1
garden,/ˈɡɑrdən/,花園,1
ghost,/ɡost/,鬼,1
grandchild,/ˈɡrænd.tʃaɪld/,孫子；孫女,1
greatly,/ˈɡretli/,極大地,1
guess,/ɡɛs/,猜測,1
gym,/dʒɪm/,健身房,1
handsome,/ˈhænsəm/,英俊的,1
happen,/ˈhæpən/,發生,1
happily,/ˈhæpɪli/,開心地,1
health,/hɛlθ/,健康,1
healthy,/ˈhɛlθi/,健康的,1
hear,/hɪr/,聽到,1
hike,/haɪk/,健行,1
history,/ˈhɪstəri/,歷史,1
hit,/hɪt/,撞擊,1
holiday,/ˈhɑlɪˌde/,假日,1
hotel,/hoˈtɛl/,飯店,1
hungry,/ˈhʌŋɡri/,飢餓的,1
idea,/aɪˈdiə/,想法,1
interestingly,/ˈɪntrɪstɪŋli/,有趣的是,1
join,/dʒɔɪn/,加入,1
jump,/dʒʌmp/,跳,1
junior,/ˈdʒuniɚ/,初中的,1
kind,/kaɪnd/,種類,1
king,/kɪŋ/,國王,1
kite,/kaɪt/,風箏,1
large,/lɑrdʒ/,大的,1
lazy,/ˈlezi/,懶惰的,1
lunch,/lʌntʃ/,午餐,1
mail,/mel/,郵件,1
mainly,/ˈmenli/,主要地,1
map,/mæp/,地圖,1
meal,/mil/,餐點,1
medium,/ˈmidiəm/,中等的,1
mind,/maɪnd/,心思；想法,1
minute,/ˈmɪnɪt/,分鐘,1
mop,/mɑp/,拖地,1
need,/nid/,需要,1
nice,/naɪs/,美好的,1
night,/naɪt/,夜晚,1
noon,/nun/,中午,1
office,/ˈɔfɪs/,辦公室,1
online,/ˈɑnˌlaɪn/,線上,1
pass,/pæs/,經過；度過,1
perhaps,/pɚˈhæps/,也許,1
phone,/fon/,電話,1
plane,/plen/,飛機,1
planet,/ˈplænɪt/,星球,1
police,/pəˈlis/,警察,1
pond,/pɑnd/,池塘,1
power,/ˈpaʊɚ/,力量；權力,1
pray,/pre/,祈禱,1
price,/praɪs/,價格,1
probably,/ˈprɑbəbli/,大概；可能,1
rainwater,/ˈrenˌwɔtɚ/,雨水,1
read,/rid/,閱讀,1
really,/ˈriəli/,真的；確實,1
remember,/rɪˈmɛmbɚ/,記得,1
right,/raɪt/,正確的；合適的,1
robot,/ˈrobɑt/,機器人,1
rock,/rɑk/,岩石,1
room,/rum/,房間,1
run,/rʌn/,跑步,1
sail,/sel/,航行,1
sea,/si/,海洋,1
sell,/sɛl/,出售,1
sentence,/ˈsɛntəns/,句子,1
service,/ˈsɜrvɪs/,服務,1
several,/ˈsɛvərəl/,幾個,1
shirt,/ʃɜrt/,上衣,1
shop,/ʃɑp/,購物,1
short,/ʃɔrt/,短暫的,1
shout,/ʃaʊt/,喊叫,1
shy,/ʃaɪ/,害羞的,1
sing,/sɪŋ/,歌唱,1
sorry,/ˈsɔri/,抱歉,1
stand,/stænd/,站立,1
station,/ˈsteʃən/,電視台；車站,1
stay,/ste/,停留,1
store,/stɔr/,商店,1
stranger,/ˈstrendʒɚ/,陌生人,1
strawberry,/ˈstrɔˌbɛri/,草莓,1
sure,/ʃʊr/,確定,1
surely,/ˈʃʊrli/,肯定地,1
surprise,/sɚˈpraɪz/,驚訝,1
teach,/titʃ/,教導,1
teenager,/ˈtinˌedʒɚ/,青少年,1
thank,/θæŋk/,感謝,1
thirsty,/ˈθɜrsti/,口渴的,1
tip,/tɪp/,技巧；提示,1
tonight,/təˈnaɪt/,今晚,1
tool,/tul/,工具,1
traffic,/ˈtræfɪk/,交通（流量）,1
true,/tru/,真實的；正確的,1
turn,/tɜrn/,開啟（轉動）,1
unhappy,/ʌnˈhæpi/,不快樂的,1
warm,/wɔrm/,溫暖的,1
watch,/wɑtʃ/,觀看,1
wife,/waɪf/,妻子,1
wind,/wɪnd/,風,1
window,/ˈwɪndo/,窗戶,1
windy,/ˈwɪndi/,有風的,1
wise,/waɪz/,聰明的；有智慧的,1
woman,/ˈwʊmən/,女性；女人,1
zoo,/zu/,動物園,1
