word,kk_phonetics,chinese_meaning,count,years
water,/ˈwɔtɚ/,水,18,"102,103,104,105,106,107,108,109,110,111,112,113,114"
buy,/baɪ/,購買,17,"102,103,104,105,106,107,108,109,110,111,112,113,114"
car,/kɑr/,汽車,17,"102,103,104,105,106,107,108,109,110,111,112,113,114"
child,/tʃaɪld/,孩子,17,"102,103,104,105,106,107,108,109,110,111,112,113"
country,/ˈkʌntri/,國家；鄉下,17,"102,103,104,105,106,107,108,109,110,111,112,113,114"
keep,/kip/,保持；繼續,17,"102,103,104,105,106,107,108,109,110,111,112,113,114"
feel,/fil/,感覺,17,"102,103,104,105,106,107,108,109,110,111,112,113,114"
give,/ɡɪv/,給予,17,"102,103,104,105,106,107,108,109,110,111,112,113,114"
take,/tek/,拿；帶,17,"102,103,104,105,106,107,108,109,110,111,112,113,114"
body,/ˈbɑdi/,身體,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
get,/ɡɛt/,得到,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
home,/hom/,家,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
job,/dʒɑb/,工作；職業,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
show,/ʃo/,展示；節目,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
talk,/tɔk/,說話；談論,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
win,/wɪn/,贏得,16,"102,103,104,105,106,107,108,109,110,111,112,113"
word,/wɝd/,單字；話語,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
easy,/ˈizi/,容易的,16,"102,103,104,105,106,107,108,109,110,111,112,113,114"
city,/ˈsɪti/,城市,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
cook,/kʊk/,煮飯；廚師,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
free,/fri/,免費的；自由的,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
learn,/lɝn/,學習,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
open,/ˈopən/,打開；開放的,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
pay,/pe/,付錢；薪水,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
run,/rʌn/,跑步；運行,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
save,/sev/,拯救；儲存,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
send,/sɛnd/,寄送,15,"102,103,104,105,106,107,108,109,110,111,112,113"
teacher,/ˈtitʃɚ/,老師,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
train,/tren/,訓練；火車,15,"102,103,104,105,106,107,108,109,110,111,112,113,114"
animal,/ˈænəml/,動物,14,"102,103,104,105,106,107,108,109,110,112,113,114"
chocolate,/ˈtʃɑklɪt/,巧克力,14,"102,103,104,105,106,107,108,109,110,111,112,113"
dinner,/ˈdɪnɚ/,晚餐,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
drink,/drɪŋk/,喝；飲料,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
enjoy,/ɪnˈdʒɔɪ/,享受,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
exercise,/ˈɛksɚˌsaɪz/,運動；練習,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
experience,/ɪkˈspɪriəns/,經驗；體驗,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
hospital,/ˈhɑspɪtl/,醫院,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
important,/ɪmˈpɔrtnt/,重要的,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
need,/nid/,需要,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
nice,/naɪs/,好的；愉快的,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
safe,/sef/,安全的,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
start,/stɑrt/,開始,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
surprise,/sɚˈpraɪz/,驚喜；使驚訝,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
try,/traɪ/,嘗試,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
visit,/ˈvɪzɪt/,拜訪；參觀,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
answer,/ˈænsɚ/,回答；答案,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
write,/raɪt/,寫,14,"102,103,104,105,106,107,108,109,110,111,112,113,114"
find,/faɪnd/,找到；發現,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
live,/lɪv/,居住；生活,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
move,/muv/,移動；搬家,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
world,/wɝld/,世界,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
play,/ple/,玩耍；演奏,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
leave,/liv/,離開；留下,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
old,/old/,老的；舊的,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
use,/juz/,使用,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
idea,/aɪˈdiə/,想法；主意,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
interested,/ˈɪntrɪstɪd/,感興趣的,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
close,/kloz/,關閉；近的,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
ask,/æsk/,詢問,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
bring,/brɪŋ/,帶來,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
building,/ˈbɪldɪŋ/,建築物,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
call,/kɔl/,打電話；稱呼,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
popular,/ˈpɑpjəlɚ/,受歡迎的,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
turn,/tɝn/,轉；輪到,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
young,/jʌŋ/,年輕的,13,"102,103,104,105,106,107,108,109,110,111,112,113,114"
beautiful,/ˈbjutɪfəl/,美麗的,12,"102,103,104,105,106,107,108,109,110,111,112,113"
check,/tʃɛk/,查看；檢查,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
die,/daɪ/,死亡,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
difficult,/ˈdɪfɪkəlt/,困難的,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
family,/ˈfæməli/,家庭,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
game,/ɡem/,遊戲；比賽,12,"102,103,104,105,106,107,108,109,110,111,112,113"
heart,/hɑrt/,心；心臟,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
hurt,/hɝt/,傷害；受傷,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
join,/dʒɔɪn/,加入,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
stop,/stɑp/,停止,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
student,/ˈstjudənt/,學生,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
summer,/ˈsʌmɚ/,夏天,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
town,/taʊn/,小鎮,12,"102,103,104,105,106,107,108,109,110,111,112,113"
truck,/trʌk/,卡車,12,"102,103,104,105,106,107,108,109,110,111,112,113"
doctor,/ˈdɑktɚ/,醫生,12,"102,103,104,105,106,107,108,109,110,111,112,113,114"
museum,/mjuˈziəm/,博物館,12,"102,103,104,105,106,108,109,110,111,112,113,114"
accident,/ˈæksɪdənt/,意外；事故,11,"102,103,104,105,106,107,108,109,110,111,112,113"
able,/ˈebl/,能夠的,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
agree,/əˈɡri/,同意,11,"102,103,104,105,106,107,108,109,110,111,112,113"
believe,/bɪˈliv/,相信,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
bike,/baɪk/,腳踏車,11,"102,103,104,105,106,107,108,109,110,111,112,113"
born,/bɔrn/,出生,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
chance,/tʃæns/,機會,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
dark,/dɑrk/,黑暗的；深色的,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
drop,/drɑp/,掉落；滴,11,"102,103,104,105,106,107,108,109,110,111,112,113"
follow,/ˈfɑlo/,跟隨；遵從,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
decide,/dɪˈsaɪd/,決定,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
drive,/draɪv/,駕駛,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
guess,/ɡɛs/,猜測,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
health,/hɛlθ/,健康,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
hope,/hop/,希望,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
letter,/ˈlɛtɚ/,信件；字母,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
lose,/luz/,失去；輸,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
nature,/ˈnetʃɚ/,自然,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
news,/njuz/,新聞,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
sleep,/slip/,睡覺,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
sport,/spɔrt/,運動,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
spend,/spɛnd/,花費；度過,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
travel,/ˈtrævəl/,旅行,11,"102,103,104,105,106,107,108,109,110,111,112,113"
war,/wɔr/,戰爭,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
woman,/ˈwʊmən/,女人；女性,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
taste,/test/,味道；品嚐,11,"102,103,104,105,107,108,109,110,111,112,113,114"
sad,/sæd/,悲傷的,11,"102,103,104,105,106,107,108,109,110,111,112,113,114"
bake,/bek/,烘焙,10,"102,103,104,105,106,108,109,110,111,112,113,114"
borrow,/ˈbɑro/,借,10,"102,103,104,105,106,107,108,109,110,111,112,113"
boy,/bɔɪ/,男孩,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
bread,/brɛd/,麵包,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
burn,/bɝn/,燃燒；燒傷,10,"102,103,104,105,106,107,108,109,110,111,112,113"
busy,/ˈbɪzi/,忙碌的,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
cake,/kek/,蛋糕,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
collect,/kəˈlɛkt/,收集,10,"102,103,104,105,106,107,108,109,110,111,112,113"
danger,/ˈdendʒɚ/,危險,10,"102,103,104,105,106,107,108,109,110,111,112,113"
dangerous,/ˈdendʒərəs/,危險的,10,"102,103,104,105,106,107,108,109,110,111,112,113"
ear,/ɪr/,耳朵,10,"102,103,104,105,106,107,108,109,110,111,112,113"
earth,/ɝθ/,地球；土壤,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
end,/ɛnd/,結束；盡頭,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
evening,/ˈivnɪŋ/,傍晚,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
face,/fes/,臉；面對,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
fall,/fɔl/,落下；秋天,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
farm,/fɑrm/,農場,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
fight,/faɪt/,打架；戰鬥,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
flower,/ˈflaʊɚ/,花朵,10,"102,103,104,105,106,107,108,109,110,111,112,113"
fly,/flaɪ/,飛行,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
happen,/ˈhæpən/,發生,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
heard,/hɝd/,聽到（hear的過去式）,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
hour,/aʊɚ/,小時,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
ice,/aɪs/,冰,10,"102,103,104,105,106,107,108,109,110,111,112,113"
kid,/kɪd/,孩子；小孩,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
language,/ˈlæŋɡwɪdʒ/,語言,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
library,/ˈlaɪbrɛri/,圖書館,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
look,/lʊk/,看；查看,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
man,/mæn/,男人；人,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
meal,/mil/,餐點,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
miss,/mɪs/,想念；錯過,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
morning,/ˈmɔrnɪŋ/,早晨,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
park,/pɑrk/,公園；停車,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
person,/ˈpɝsn/,人；個人,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
pick,/pɪk/,挑選；採摘,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
plan,/plæn/,計畫,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
point,/pɔɪnt/,點；指出,10,"102,103,104,105,106,107,108,109,110,111,112,113"
rain,/ren/,雨；下雨,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
report,/rɪˈpɔrt/,報告；報導,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
restaurant,/ˈrɛstərənt/,餐廳,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
ride,/raɪd/,騎乘,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
sea,/si/,海洋,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
shop,/ʃɑp/,購物；商店,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
sick,/sɪk/,生病的,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
smile,/smaɪl/,微笑,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
speak,/spik/,說話；講,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
study,/ˈstʌdi/,研究；學習,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
summer,/ˈsʌmɚ/,夏季,10,"103,104,105,106,107,108,109,110,111,112,113,114"
tree,/tri/,樹,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
understand,/ˌʌndɚˈstænd/,理解,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
wait,/wet/,等待,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
walk,/wɔk/,步行,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
watch,/wɑtʃ/,觀看；手錶,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
weekend,/ˈwikˌɛnd/,週末,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
worry,/ˈwɝi/,擔心,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
wrong,/rɔŋ/,錯誤的,10,"102,103,104,105,106,107,108,109,110,111,112,113,114"
afraid,/əˈfred/,害怕的,9,"102,103,104,105,106,107,108,109,110,111,112,113"
age,/edʒ/,年齡,9,"102,103,104,105,106,107,108,109,110,111,112,113"
angry,/ˈæŋɡri/,生氣的,9,"102,103,104,105,106,107,108,109,110,111,112,113"
apartment,/əˈpɑrtmənt/,公寓,9,"102,103,104,105,106,107,108,109,110,111,112,113"
app,/æp/,應用程式,9,"102,103,104,107,108,109,110,111,112,113,114"
artist,/ˈɑrtɪst/,藝術家,9,"102,103,104,105,106,107,108,109,110,111,112,113"
attention,/əˈtɛnʃən/,注意,9,"102,103,104,105,106,107,108,109,110,111,112,113"
ball,/bɔl/,球,9,"102,103,104,105,106,107,108,109,110,111,112,113"
bathroom,/ˈbæθˌrum/,浴室；廁所,9,"102,103,104,105,106,107,108,109,110,111,112,113"
bedroom,/ˈbɛdˌrum/,臥室,9,"102,103,104,105,106,107,108,109,110,111,112,113"
begin,/bɪˈɡɪn/,開始,9,"102,103,104,105,106,107,108,109,110,111,112,113"
birthday,/ˈbɝθˌde/,生日,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
cat,/kæt/,貓,9,"102,103,104,105,106,107,108,109,110,111,112,113"
climb,/klaɪm/,攀爬,9,"102,103,104,105,106,107,108,109,110,111,112,113"
clothes,/kloz/,衣服,9,"102,103,104,105,106,107,108,109,110,111,112,113"
cloud,/klaʊd/,雲,9,"102,103,104,105,106,107,108,109,110,111,112,113"
computer,/kəmˈpjutɚ/,電腦,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
cover,/ˈkʌvɚ/,覆蓋；封面,9,"102,103,104,105,106,107,108,109,110,111,112,113"
cry,/kraɪ/,哭泣；喊叫,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
cut,/kʌt/,切割；剪,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
dead,/dɛd/,死的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
deal,/dil/,處理；交易,9,"102,103,104,105,106,107,108,109,110,111,112,113"
delicious,/dɪˈlɪʃəs/,美味的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
different,/ˈdɪfrənt/,不同的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
dream,/drim/,夢想；夢,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
draw,/drɔ/,畫圖；拖拉,9,"102,103,104,105,106,107,108,109,110,111,112,113"
dress,/drɛs/,洋裝；穿衣,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
egg,/ɛɡ/,蛋,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
electric,/ɪˈlɛktrɪk/,電的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
example,/ɪɡˈzæmpl/,例子,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
excuse,/ɪkˈskjuz/,藉口；原諒,9,"102,103,104,105,106,107,108,109,110,111,112,113"
expect,/ɪkˈspɛkt/,期望；預期,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
explain,/ɪkˈsplen/,解釋,9,"102,103,104,105,106,107,108,109,110,111,112,113"
festival,/ˈfɛstɪvl/,節慶；祭典,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
fish,/fɪʃ/,魚；釣魚,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
fix,/fɪks/,修理；固定,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
forget,/fɚˈɡɛt/,忘記,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
fresh,/frɛʃ/,新鮮的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
future,/ˈfjutʃɚ/,未來,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
garden,/ˈɡɑrdn/,花園,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
gift,/ɡɪft/,禮物,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
girl,/ɡɝl/,女孩,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
grow,/ɡro/,生長；成長,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
hard,/hɑrd/,困難的；努力地,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
hate,/het/,討厭,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
hit,/hɪt/,打；擊中,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
history,/ˈhɪstəri/,歷史,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
invite,/ɪnˈvaɪt/,邀請,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
island,/ˈaɪlənd/,島嶼,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
kill,/kɪl/,殺死,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
kind,/kaɪnd/,種類；親切的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
lamp,/læmp/,燈,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
large,/lɑrdʒ/,大的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
leg,/lɛɡ/,腿,9,"102,103,104,105,106,107,108,109,110,111,112,113"
light,/laɪt/,光；輕的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
list,/lɪst/,列表,9,"102,103,104,105,106,107,108,109,110,111,112,113"
low,/lo/,低的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
machine,/məˈʃin/,機器,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
magic,/ˈmædʒɪk/,魔法；神奇的,9,"102,103,104,105,107,108,109,110,111,112,113,114"
market,/ˈmɑrkɪt/,市場,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
match,/mætʃ/,比賽；配對,9,"102,103,104,105,106,107,108,109,110,111,112,113"
matter,/ˈmætɚ/,事情；重要,9,"102,103,104,105,106,107,108,109,110,111,112,113"
meet,/mit/,遇見；開會,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
member,/ˈmɛmbɚ/,成員；會員,9,"102,103,104,105,106,107,108,109,110,111,112,113"
mind,/maɪnd/,介意；心智,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
mountain,/ˈmaʊntən/,山,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
movie,/ˈmuvi/,電影,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
notice,/ˈnotɪs/,注意到,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
offer,/ˈɔfɚ/,提供；提議,9,"102,103,104,105,106,107,108,109,110,111,112,113"
office,/ˈɔfɪs/,辦公室,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
online,/ˈɑnˌlaɪn/,線上的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
order,/ˈɔrdɚ/,命令；點餐；順序,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
page,/pedʒ/,頁面,9,"102,103,104,105,106,107,108,109,110,111,112,113"
paint,/pent/,畫；油漆,9,"102,103,104,105,106,107,108,109,110,111,112,113"
painting,/ˈpentɪŋ/,畫作；繪畫,9,"102,103,104,105,106,107,108,109,110,111,112,113"
phone,/fon/,電話,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
police,/pəˈlis/,警察,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
power,/ˈpaʊɚ/,力量；電力,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
prepare,/prɪˈpɛr/,準備,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
price,/praɪs/,價格,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
prize,/praɪz/,獎品；獎項,9,"102,103,104,105,106,107,108,109,110,111,112,113"
proud,/praʊd/,驕傲的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
public,/ˈpʌblɪk/,公共的；公眾,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
put,/pʊt/,放置,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
race,/res/,種族；競賽,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
real,/riəl/,真實的,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
reason,/ˈrizn/,原因,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
remember,/rɪˈmɛmbɚ/,記得,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
repeat,/rɪˈpit/,重複,9,"102,103,104,105,106,107,108,109,110,111,112,113"
rest,/rɛst/,休息；其餘,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
river,/ˈrɪvɚ/,河流,9,"102,103,104,105,106,107,108,109,110,111,112,113"
road,/rod/,道路,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
rock,/rɑk/,岩石；搖滾,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
role,/rol/,角色；作用,9,"102,103,104,105,106,107,108,109,110,111,112,113"
room,/rum/,房間,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
rule,/rul/,規則,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
scary,/ˈskɛri/,可怕的,9,"102,103,104,105,106,107,108,109,110,111,112,113"
seat,/sit/,座位,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
service,/ˈsɝvɪs/,服務,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
share,/ʃɛr/,分享；份額,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
shine,/ʃaɪn/,閃耀；發光,9,"102,103,104,105,106,107,108,109,110,111,112,113"
shot,/ʃɑt/,射擊；注射,9,"102,103,104,105,106,107,108,109,110,111,112,113"
shout,/ʃaʊt/,大喊,9,"102,103,104,105,106,107,108,109,110,111,112,113"
sign,/saɪn/,標誌；簽名,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
sing,/sɪŋ/,唱歌,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
skill,/skɪl/,技能,9,"102,103,104,105,106,107,108,109,110,111,112,113"
smell,/smɛl/,氣味；聞,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
snow,/sno/,雪；下雪,9,"102,103,104,105,106,107,108,109,110,111,112,113,114"
sold,/sold/,賣出（sell的過去式）,9,"102,103,104,105,106,107,108,109,110,111,112,113"
